,sector_economico_1,sector_economico_2,ta,Año
0,0.0,1.0,40878.0,2010-02-28
1,0.0,1.0,40878.0,2010-03-31
2,0.0,1.0,40913.125,2010-04-30
3,0.0,1.0,40804.703125,2010-05-31
4,0.0,1.0,40651.132161458336,2010-06-30
5,0.0,1.0,40515.70998806424,2010-07-31
6,0.0,1.0,40470.80540522823,2010-08-31
7,0.0,1.0,40395.56351334372,2010-09-30
8,0.0,1.0,40397.8733669544,2010-10-31
9,0.0,1.0,40438.46197666464,2010-11-30
10,0.0,1.0,40538.44272763694,2010-12-31
11,0.0,1.0,40658.04928065207,2011-01-31
12,0.0,1.0,40828.5055606249,2011-02-28
13,0.0,1.0,40975.192828932195,2011-03-31
14,0.0,1.0,41002.30979439335,2011-04-30
15,0.0,1.0,40982.54688629363,2011-05-31
16,0.0,1.0,40972.48243269807,2011-06-30
17,0.0,1.0,40977.795664668985,2011-07-31
18,0.0,1.0,40992.720845307784,2011-08-31
19,0.0,1.0,40989.81581008663,2011-09-30
20,0.0,1.0,41039.49015133302,2011-10-31
21,0.0,1.0,41154.636395027475,2011-11-30
22,0.0,1.0,41375.443211901336,2011-12-31
23,0.0,1.0,41645.38307807211,2012-01-31
24,0.0,1.0,41863.45044981911,2012-02-29
25,0.0,1.0,42082.55668107665,2012-03-31
26,0.0,1.0,42264.741819365125,2012-04-30
27,0.0,1.0,42283.50257689158,2012-05-31
28,0.0,1.0,42297.939969521096,2012-06-30
29,0.0,1.0,42358.65080412439,2012-07-31
30,0.0,1.0,42419.49868728587,2012-08-31
31,0.0,1.0,42412.811241982294,2012-09-30
32,0.0,1.0,42566.944106899704,2012-10-31
33,0.0,1.0,42828.113102445546,2012-11-30
34,0.0,1.0,43194.65005651031,2012-12-31
35,0.0,1.0,43606.372970822384,2013-01-31
36,0.0,1.0,44011.940763704784,2013-02-28
37,0.0,1.0,44365.85989855042,2013-03-31
38,0.0,1.0,44725.19906944416,2013-04-30
39,0.0,1.0,45042.06577488398,2013-05-31
40,0.0,1.0,45259.22970093048,2013-06-30
41,0.0,1.0,45463.34513005838,2013-07-31
42,0.0,1.0,45562.33074963927,2013-08-31
43,0.0,1.0,45616.6919684043,2013-09-30
44,0.0,1.0,45815.57980305413,2013-10-31
45,0.0,1.0,46078.51397792687,2013-11-30
46,0.0,1.0,46482.65922884659,2013-12-31
47,0.0,1.0,46951.63176097799,2014-01-31
48,0.0,1.0,47384.647104270574,2014-02-28
49,0.0,1.0,47827.57847492597,2014-03-31
50,0.0,1.0,48229.762705137386,2014-04-30
51,0.0,1.0,48551.314259089995,2014-05-31
52,0.0,1.0,48640.30116496125,2014-06-30
53,0.0,1.0,48810.330283087875,2014-07-31
54,0.0,1.0,48864.941521292545,2014-08-31
55,0.0,1.0,49014.19395790536,2014-09-30
56,0.0,1.0,49288.97754299263,2014-10-31
57,0.0,1.0,49667.64514536794,2014-11-30
58,0.0,1.0,50107.11826431095,2014-12-31
59,0.0,1.0,50532.696669964665,2015-01-31
60,0.0,1.0,50952.41764204947,2015-02-28
61,0.0,1.0,51428.48357363074,2015-03-31
62,0.0,1.0,51880.33842472947,2015-04-30
63,0.0,1.0,52194.490990365746,2015-05-31
64,0.0,1.0,52211.92886576718,2015-06-30
65,0.0,1.0,52244.39016302688,2015-07-31
66,0.0,1.0,52198.29057290076,2015-08-31
67,0.0,1.0,52350.19513236323,2015-09-30
68,0.0,1.0,52612.10366851476,2015-10-31
69,0.0,1.0,53066.93268232665,2015-11-30
70,0.0,1.0,53540.76882056305,2015-12-31
71,0.0,1.0,54022.02845303959,2016-01-31
72,0.0,1.0,54477.94393416294,2016-02-29
73,0.0,1.0,54977.07127023948,2016-03-31
74,0.0,1.0,55468.776633979505,2016-04-30
75,0.0,1.0,55714.9526075637,2016-05-31
76,0.0,1.0,55899.454582248545,2016-06-30
77,0.0,1.0,56054.18564132152,2016-07-31
78,0.0,1.0,56235.96957293313,2016-08-31
79,0.0,1.0,56524.72084072758,2016-09-30
80,0.0,1.0,56996.52413903061,2016-10-31
81,0.0,1.0,57529.752299904336,2016-11-30
82,0.0,1.0,58094.054287408326,2016-12-31
83,0.0,1.0,58694.46869209965,2017-01-31
84,0.0,1.0,59250.61582992883,2017-02-28
85,0.0,1.0,59958.50683701513,2017-03-31
86,0.0,1.0,60501.8190521395,2017-04-30
87,0.0,1.0,60845.36825830036,2017-05-31
88,0.0,1.0,61111.89458087118,2017-06-30
89,0.0,1.0,61114.06564000155,2017-07-31
90,0.0,1.0,61422.104571668155,2017-08-31
91,0.0,1.0,61820.558547848654,2017-09-30
92,0.0,1.0,62321.8269416883,2017-10-31
93,0.0,1.0,62958.54248578462,2017-11-30
94,0.0,1.0,63583.3532155436,2017-12-31
95,0.0,1.0,64279.79683156262,2018-01-31
96,0.0,1.0,64978.26363024751,2018-02-28
97,0.0,1.0,65683.50264565386,2018-03-31
98,0.0,1.0,66280.02336875162,2018-04-30
99,0.0,1.0,66707.02239505363,2018-05-31
100,0.0,1.0,66955.72979525973,2018-06-30
101,0.0,1.0,66937.53272045724,2018-07-31
102,0.0,1.0,67249.13552377152,2018-08-31
103,0.0,1.0,67669.42154361437,2018-09-30
104,0.0,1.0,68199.44564596377,2018-10-31
105,0.0,1.0,68770.21874404862,2018-11-30
106,0.0,1.0,69359.6679630466,2018-12-31
107,0.0,1.0,70076.59846458632,2019-01-31
108,0.0,1.0,70845.65686189523,2019-02-28
109,0.0,1.0,71608.5044926496,2019-03-31
110,0.0,1.0,72324.0251387892,2019-04-30
111,0.0,1.0,72787.23242467298,2019-05-31
112,0.0,1.0,73055.68107364494,2019-06-30
113,0.0,1.0,72942.11102890974,2019-07-31
114,0.0,1.0,73174.89806937185,2019-08-31
115,0.0,1.0,73569.44398314803,2019-09-30
116,0.0,1.0,74097.96715051687,2019-10-31
117,0.0,1.0,74642.55185257866,2019-11-30
118,0.0,1.0,75159.02885872121,2019-12-31
119,0.0,1.0,75769.69432294117,2020-01-31
120,0.0,1.0,76372.16539281863,2020-02-29
121,0.0,1.0,76960.45016811785,2020-03-31
122,0.0,1.0,77590.88974444628,2020-04-30
123,0.0,1.0,78092.22767176102,2020-05-31
124,0.0,1.0,78278.63485210431,2020-06-30
125,0.0,1.0,78029.77506659996,2020-07-31
126,0.0,1.0,78176.65943882497,2020-08-31
127,0.0,1.0,78443.0902955406,2020-09-30
128,0.0,1.0,78835.79486655975,2020-10-31
129,0.0,1.0,79345.55341378643,2020-11-30
130,0.0,1.0,79753.69702154533,2020-12-31
131,0.0,1.0,80217.25131231429,2021-01-31
132,0.0,1.0,80702.03250763453,2021-02-28
133,0.0,1.0,81084.2394864831,2021-03-31
134,0.0,1.0,81461.18784121297,2021-04-30
135,0.0,1.0,81592.68001449577,2021-05-31
136,0.0,1.0,81654.40168055845,2021-06-30
137,0.0,1.0,81741.4266105352,2021-07-31
138,0.0,1.0,82001.65883509624,2021-08-31
139,0.0,1.0,82362.1313836339,2021-09-30
140,0.0,1.0,82798.08424264914,2021-10-31
141,0.0,1.0,83293.7890658721,2021-11-30
142,0.0,1.0,83660.7978547941,2021-12-31
143,0.0,1.0,84222.43127751102,2022-01-31
144,0.0,1.0,84823.24664094805,2022-02-28
145,0.0,1.0,85465.7363642419,2022-03-31
146,0.0,1.0,85909.16401573182,2022-04-30
147,0.0,1.0,86166.782181743,2022-05-31
148,0.0,1.0,86354.4162575037,2022-06-30
149,0.0,1.0,86411.81558010772,2022-07-31
150,0.0,1.0,86581.03159760323,2022-08-31
151,0.0,1.0,86904.86361436977,2022-09-30
152,0.0,1.0,87287.53596377102,2022-10-31
153,0.0,1.0,87650.88863194722,2022-11-30
154,0.0,1.0,87917.72660561609,2022-12-31
155,0.0,1.0,88452.82133038208,2023-01-31
156,0.0,1.0,88993.91210828284,2023-02-28
157,0.0,1.0,89530.45743710439,2023-03-31
158,0.0,1.0,89898.4800438917,2023-04-30
159,0.0,1.0,90125.50170872956,2023-05-31
160,0.0,1.0,90293.48080419916,2023-06-30
161,0.0,1.0,90344.08577069086,2023-07-31
162,0.0,2.0,15525.0,2010-02-28
163,0.0,2.0,15525.0,2010-03-31
164,0.0,2.0,15525.333333333334,2010-04-30
165,0.0,2.0,15529.986111111111,2010-05-31
166,0.0,2.0,15537.486689814816,2010-06-30
167,0.0,2.0,15551.508077739198,2010-07-31
168,0.0,2.0,15573.570241166732,2010-08-31
169,0.0,2.0,15600.629814451451,2010-09-30
170,0.0,2.0,15636.936905515977,2010-10-31
171,0.0,2.0,15676.439534452811,2010-11-30
172,0.0,2.0,15705.462887183943,2010-12-31
173,0.0,2.0,15734.443600217948,2011-01-31
174,0.0,2.0,15767.383450208868,2011-02-28
175,0.0,2.0,15804.575806450164,2011-03-31
176,0.0,2.0,15839.885147848076,2011-04-30
177,0.0,2.0,15883.889933354409,2011-05-31
178,0.0,2.0,15925.977852797972,2011-06-30
179,0.0,2.0,15970.93710893139,2011-07-31
180,0.0,2.0,16021.35639605925,2011-08-31
181,0.0,2.0,16070.091546223448,2011-09-30
182,0.0,2.0,16117.337731797472,2011-10-31
183,0.0,2.0,16162.323659639243,2011-11-30
184,0.0,2.0,16203.185173820944,2011-12-31
185,0.0,2.0,16241.719124911737,2012-01-31
186,0.0,2.0,16278.397494707082,2012-02-29
187,0.0,2.0,16316.00593242762,2012-03-31
188,0.0,2.0,16354.46401857647,2012-04-30
189,0.0,2.0,16389.611351135783,2012-05-31
190,0.0,2.0,16420.21087817179,2012-06-30
191,0.0,2.0,16448.5770915813,2012-07-31
192,0.0,2.0,16465.594712765414,2012-08-31
193,0.0,2.0,16477.944933066858,2012-09-30
194,0.0,2.0,16494.572227522407,2012-10-31
195,0.0,2.0,16520.215051375642,2012-11-30
196,0.0,2.0,16549.331090901658,2012-12-31
197,0.0,2.0,16582.400628780757,2013-01-31
198,0.0,2.0,16615.00893591489,2013-02-28
199,0.0,2.0,16649.96689691844,2013-03-31
200,0.0,2.0,16672.926609546837,2013-04-30
201,0.0,2.0,16698.179667482385,2013-05-31
202,0.0,2.0,16674.130514670618,2013-06-30
203,0.0,2.0,16614.583409892675,2013-07-31
204,0.0,2.0,16556.225767813816,2013-08-31
205,0.0,2.0,16490.091360821574,2013-09-30
206,0.0,2.0,16372.754220787345,2013-10-31
207,0.0,2.0,16268.806128254537,2013-11-30
208,0.0,2.0,16165.855872910595,2013-12-31
209,0.0,2.0,16084.153544872655,2014-01-31
210,0.0,2.0,15995.730480502962,2014-02-28
211,0.0,2.0,15920.741710482003,2014-03-31
212,0.0,2.0,15863.91913921192,2014-04-30
213,0.0,2.0,15805.83917507809,2014-05-31
214,0.0,2.0,15763.220876116504,2014-06-30
215,0.0,2.0,15735.87833961165,2014-07-31
216,0.0,2.0,15721.383408794498,2014-08-31
217,0.0,2.0,15711.36743342806,2014-09-30
218,0.0,2.0,15721.643790368558,2014-10-31
219,0.0,2.0,15745.075299103202,2014-11-30
220,0.0,2.0,15781.572161640568,2014-12-31
221,0.0,2.0,15812.04832157221,2015-01-31
222,0.0,2.0,15854.504641506705,2015-02-28
223,0.0,2.0,15905.108614777258,2015-03-31
224,0.0,2.0,15958.187422494871,2015-04-30
225,0.0,2.0,16012.512946557588,2015-05-31
226,0.0,2.0,16045.866573784357,2015-06-30
227,0.0,2.0,16083.83046654334,2015-07-31
228,0.0,2.0,16127.170863770702,2015-08-31
229,0.0,2.0,16170.663744446923,2015-09-30
230,0.0,2.0,16218.761088428302,2015-10-31
231,0.0,2.0,16272.271043077122,2015-11-30
232,0.0,2.0,16321.71808294891,2015-12-31
233,0.0,2.0,16370.688162826038,2016-01-31
234,0.0,2.0,16420.284489374953,2016-02-29
235,0.0,2.0,16472.064302317664,2016-03-31
236,0.0,2.0,16524.43662305443,2016-04-30
237,0.0,2.0,16577.46009709383,2016-05-31
238,0.0,2.0,16631.857593048255,2016-06-30
239,0.0,2.0,16682.280193337912,2016-07-31
240,0.0,2.0,16730.226851948835,2016-08-31
241,0.0,2.0,16773.175733117634,2016-09-30
242,0.0,2.0,16814.376744237732,2016-10-31
243,0.0,2.0,16857.569379894496,2016-11-30
244,0.0,2.0,16896.253989065557,2016-12-31
245,0.0,2.0,17028.368406187827,2017-01-31
246,0.0,2.0,17122.686389263334,2017-02-28
247,0.0,2.0,17211.99112304403,2017-03-31
248,0.0,2.0,17297.82482625053,2017-04-30
249,0.0,2.0,17383.623791823426,2017-05-31
250,0.0,2.0,17465.056133830785,2017-06-30
251,0.0,2.0,17548.595461587836,2017-07-31
252,0.0,2.0,17629.778984021676,2017-08-31
253,0.0,2.0,17631.20485968744,2017-09-30
254,0.0,2.0,17638.904657200463,2017-10-31
255,0.0,2.0,17656.241963150445,2017-11-30
256,0.0,2.0,17671.940214685845,2017-12-31
257,0.0,2.0,17694.1927057406,2018-01-31
258,0.0,2.0,17774.559676334742,2018-02-28
259,0.0,2.0,17854.994689820796,2018-03-31
260,0.0,2.0,17938.703244411598,2018-04-30
261,0.0,2.0,18022.798942561116,2018-05-31
262,0.0,2.0,18108.4323199544,2018-06-30
263,0.0,2.0,18193.53930662297,2018-07-31
264,0.0,2.0,18279.683502180345,2018-08-31
265,0.0,2.0,18357.0716895895,2018-09-30
266,0.0,2.0,18448.360369189937,2018-10-31
267,0.0,2.0,18536.428687140356,2018-11-30
268,0.0,2.0,18615.660825176175,2018-12-31
269,0.0,2.0,18690.75829079383,2019-01-31
270,0.0,2.0,18766.76836201076,2019-02-28
271,0.0,2.0,18840.069680260312,2019-03-31
272,0.0,2.0,18907.4834435828,2019-04-30
273,0.0,2.0,18973.29663343352,2019-05-31
274,0.0,2.0,19035.325940373787,2019-06-30
275,0.0,2.0,19118.520692858212,2019-07-31
276,0.0,2.0,19212.29066398912,2019-08-31
277,0.0,2.0,19315.07021965624,2019-09-30
278,0.0,2.0,19417.52562717057,2019-10-31
279,0.0,2.0,19519.587059371792,2019-11-30
280,0.0,2.0,19603.89593189797,2019-12-31
281,0.0,2.0,19686.650268068886,2020-01-31
282,0.0,2.0,19772.289840232686,2020-02-29
283,0.0,2.0,19860.194430222993,2020-03-31
284,0.0,2.0,19957.102995630372,2020-04-30
285,0.0,2.0,20052.39037081244,2020-05-31
286,0.0,2.0,20142.290772028588,2020-06-30
287,0.0,2.0,20225.570323194064,2020-07-31
288,0.0,2.0,20299.37989306098,2020-08-31
289,0.0,2.0,20365.155730850107,2020-09-30
290,0.0,2.0,20413.81590873135,2020-10-31
291,0.0,2.0,20479.990245867542,2020-11-30
292,0.0,2.0,20533.9073189564,2020-12-31
293,0.0,2.0,20581.619513999885,2021-01-31
294,0.0,2.0,20629.63536758322,2021-02-28
295,0.0,2.0,20692.65056060059,2021-03-31
296,0.0,2.0,20764.3734539089,2021-04-30
297,0.0,2.0,20860.441226662693,2021-05-31
298,0.0,2.0,20986.672842218417,2021-06-30
299,0.0,2.0,21080.769807125984,2021-07-31
300,0.0,2.0,21178.612731829067,2021-08-31
301,0.0,2.0,21270.170534669523,2021-09-30
302,0.0,2.0,21357.080095724963,2021-10-31
303,0.0,2.0,21448.07675840309,2021-11-30
304,0.0,2.0,21524.99022680296,2021-12-31
305,0.0,2.0,21609.157300686173,2022-01-31
306,0.0,2.0,21697.442413157583,2022-02-28
307,0.0,2.0,21782.507312609352,2022-03-31
308,0.0,2.0,21860.236174583963,2022-04-30
309,0.0,2.0,21928.101333976298,2022-05-31
310,0.0,2.0,21984.76377839395,2022-06-30
311,0.0,2.0,22042.64862096087,2022-07-31
312,0.0,2.0,22091.7465950875,2022-08-31
313,0.0,2.0,22148.257153625524,2022-09-30
314,0.0,2.0,22217.913105557793,2022-10-31
315,0.0,2.0,22288.708392826225,2022-11-30
316,0.0,2.0,22350.387209791796,2022-12-31
317,0.0,2.0,22408.579409383805,2023-01-31
318,0.0,2.0,22467.721933992812,2023-02-28
319,0.0,2.0,22528.06685340978,2023-03-31
320,0.0,2.0,22589.105734517703,2023-04-30
321,0.0,2.0,22646.517995579467,2023-05-31
322,0.0,2.0,22698.41307909699,2023-06-30
323,0.0,2.0,22750.312534134617,2023-07-31
324,0.0,3.0,448.0,2010-02-28
325,0.0,3.0,448.00000000000006,2010-03-31
326,0.0,3.0,450.8750000000001,2010-04-30
327,0.0,3.0,453.1302083333335,2010-05-31
328,0.0,3.0,451.74978298611126,2010-06-30
329,0.0,3.0,449.0518753616899,2010-07-31
330,0.0,3.0,446.2580472216195,2010-08-31
331,0.0,3.0,442.45562858738543,2010-09-30
332,0.0,3.0,439.43664406291106,2010-10-31
333,0.0,3.0,437.7101172269564,2010-11-30
334,0.0,3.0,435.0138623424999,2010-12-31
335,0.0,3.0,433.2216180782291,2011-01-31
336,0.0,3.0,432.9623839916362,2011-02-28
337,0.0,3.0,434.9639513253181,2011-03-31
338,0.0,3.0,436.0071200200965,2011-04-30
339,0.0,3.0,437.25682335259256,2011-05-31
340,0.0,3.0,434.78778904623454,2011-06-30
341,0.0,3.0,431.8382978359748,2011-07-31
342,0.0,3.0,428.59503542614254,2011-08-31
343,0.0,3.0,425.40357561672,2011-09-30
344,0.0,3.0,422.0950932993567,2011-10-31
345,0.0,3.0,420.0911310785501,2011-11-30
346,0.0,3.0,417.67066728361056,2011-12-31
347,0.0,3.0,416.0177228134601,2012-01-31
348,0.0,3.0,414.308651029566,2012-02-29
349,0.0,3.0,415.00412390333406,2012-03-31
350,0.0,3.0,416.79561874069515,2012-04-30
351,0.0,3.0,425.51246795983286,2012-05-31
352,0.0,3.0,430.5744484615065,2012-06-30
353,0.0,3.0,432.9671797756104,2012-07-31
354,0.0,3.0,435.05188061829335,2012-08-31
355,0.0,3.0,435.84138559253114,2012-09-30
356,0.0,3.0,437.306327859509,2012-10-31
357,0.0,3.0,437.6268975320295,2012-11-30
358,0.0,3.0,438.1841101348616,2012-12-31
359,0.0,3.0,439.09310554590905,2013-01-31
360,0.0,3.0,442.1308928148295,2013-02-28
361,0.0,3.0,446.250438947545,2013-03-31
362,0.0,3.0,453.24000399139726,2013-04-30
363,0.0,3.0,460.23000382508906,2013-05-31
364,0.0,3.0,466.09542033237705,2013-06-30
365,0.0,3.0,467.2164444851947,2013-07-31
366,0.0,3.0,468.70742596497826,2013-08-31
367,0.0,3.0,469.7196165497709,2013-09-30
368,0.0,3.0,470.1896325268638,2013-10-31
369,0.0,3.0,471.4733978382445,2013-11-30
370,0.0,3.0,472.037006261651,2013-12-31
371,0.0,3.0,472.9937976674155,2014-01-31
372,0.0,3.0,475.2023894312733,2014-02-28
373,0.0,3.0,480.23562320497024,2014-03-31
374,0.0,3.0,484.6008055714298,2014-04-30
375,0.0,3.0,487.36743867262027,2014-05-31
376,0.0,3.0,488.0187953945944,2014-06-30
377,0.0,3.0,488.47634558648633,2014-07-31
378,0.0,3.0,488.8314978537161,2014-08-31
379,0.0,3.0,488.21351877647794,2014-09-30
380,0.0,3.0,487.28795549412473,2014-10-31
381,0.0,3.0,484.60929068186954,2014-11-30
382,0.0,3.0,484.66723690345833,2014-12-31
383,0.0,3.0,485.6394353658143,2015-01-31
384,0.0,3.0,487.4461255589054,2015-02-28
385,0.0,3.0,490.7608703272843,2015-03-31
386,0.0,3.0,494.85416739698087,2015-04-30
387,0.0,3.0,498.7769104221067,2015-05-31
388,0.0,3.0,500.8278724878523,2015-06-30
389,0.0,3.0,501.1267111341918,2015-07-31
390,0.0,3.0,500.3714315036005,2015-08-31
391,0.0,3.0,499.8142885242838,2015-09-30
392,0.0,3.0,499.0720265024387,2015-10-31
393,0.0,3.0,498.86069206483705,2015-11-30
394,0.0,3.0,498.2414965621355,2015-12-31
395,0.0,3.0,498.3564342053799,2016-01-31
396,0.0,3.0,500.8832494468225,2016-02-29
397,0.0,3.0,505.05478071987153,2016-03-31
398,0.0,3.0,509.38583152321024,2016-04-30
399,0.0,3.0,513.7030885430765,2016-05-31
400,0.0,3.0,513.9654598537817,2016-06-30
401,0.0,3.0,512.8418990265408,2016-07-31
402,0.0,3.0,511.5984865671016,2016-08-31
403,0.0,3.0,510.82354962680574,2016-09-30
404,0.0,3.0,510.2059017256889,2016-10-31
405,0.0,3.0,509.9473224871185,2016-11-30
406,0.0,3.0,508.78285071682194,2016-12-31
407,0.0,3.0,507.7085652702877,2017-01-31
408,0.0,3.0,507.2623750506923,2017-02-28
409,0.0,3.0,507.33477609024686,2017-03-31
410,0.0,3.0,507.6541604198199,2017-04-30
411,0.0,3.0,507.9185704023274,2017-05-31
412,0.0,3.0,506.9219633022305,2017-06-30
413,0.0,3.0,505.25854816463755,2017-07-31
414,0.0,3.0,503.414441991111,2017-08-31
415,0.0,3.0,501.2721735748147,2017-09-30
416,0.0,3.0,499.71916634253074,2017-10-31
417,0.0,3.0,498.8558677449253,2017-11-30
418,0.0,3.0,498.1535399222201,2017-12-31
419,0.0,3.0,497.0221424254609,2018-01-31
420,0.0,3.0,496.3962198244,2018-02-28
421,0.0,3.0,496.8380439983834,2018-03-31
422,0.0,3.0,498.6364588317841,2018-04-30
423,0.0,3.0,498.9849397137931,2018-05-31
424,0.0,3.0,497.56890055905177,2018-06-30
425,0.0,3.0,495.836863035758,2018-07-31
426,0.0,3.0,494.1769937426014,2018-08-31
427,0.0,3.0,492.3779523366597,2018-09-30
428,0.0,3.0,490.98720432263224,2018-10-31
429,0.0,3.0,489.5710708091893,2018-11-30
430,0.0,3.0,487.9639428588064,2018-12-31
431,0.0,3.0,487.4237785730229,2019-01-31
432,0.0,3.0,488.4477877991469,2019-02-28
433,0.0,3.0,490.4291299741824,2019-03-31
434,0.0,3.0,492.2445828919248,2019-04-30
435,0.0,3.0,493.5260586047613,2019-05-31
436,0.0,3.0,491.83747282956296,2019-06-30
437,0.0,3.0,489.76091146166453,2019-07-31
438,0.0,3.0,487.7292068174285,2019-08-31
439,0.0,3.0,484.8654898667023,2019-09-30
440,0.0,3.0,482.7877611222564,2019-10-31
441,0.0,3.0,482.171604408829,2019-11-30
442,0.0,3.0,480.49778755846125,2019-12-31
443,0.0,3.0,479.68537974352535,2020-01-31
444,0.0,3.0,479.24015558754513,2020-02-29
445,0.0,3.0,479.4384824380641,2020-03-31
446,0.0,3.0,478.4618790031448,2020-04-30
447,0.0,3.0,477.3593007113471,2020-05-31
448,0.0,3.0,473.5943298483743,2020-06-30
449,0.0,3.0,469.944566104692,2020-07-31
450,0.0,3.0,466.7802091836632,2020-08-31
451,0.0,3.0,462.8727004676773,2020-09-30
452,0.0,3.0,459.6280046148574,2020-10-31
453,0.0,3.0,456.31017108923834,2020-11-30
454,0.0,3.0,452.3805806271867,2020-12-31
455,0.0,3.0,451.03138976772067,2021-01-31
456,0.0,3.0,451.196748527399,2021-02-28
457,0.0,3.0,450.93855067209074,2021-03-31
458,0.0,3.0,451.2327777274203,2021-04-30
459,0.0,3.0,451.1397453221111,2021-05-31
460,0.0,3.0,449.6755892670231,2021-06-30
461,0.0,3.0,448.2724397142305,2021-07-31
462,0.0,3.0,447.96942139280424,2021-08-31
463,0.0,3.0,445.80402883477075,2021-09-30
464,0.0,3.0,444.2288609666553,2021-10-31
465,0.0,3.0,441.9693250930447,2021-11-30
466,0.0,3.0,438.84560321416785,2021-12-31
467,0.0,3.0,436.26870308024417,2022-01-31
468,0.0,3.0,435.34084045190065,2022-02-28
469,0.0,3.0,434.2016387664048,2022-03-31
470,0.0,3.0,433.02657048447134,2022-04-30
471,0.0,3.0,432.4421300476184,2022-05-31
472,0.0,3.0,432.17370796230097,2022-06-30
